duration,mode_of_transport,vehicles
115,car,60
114,car,49
114,car,55
114,car,65
113,car,51
112,car,53
112,car,63
111,car,50
110,car,63
109,car,50
109,car,49
109,car,47
109,car,65
108,car,59
108,car,52
107,car,50
107,car,48
107,car,47
107,car,47
106,car,53
105,car,57
105,car,61
104,car,65
104,car,51
103,car,64
103,car,50
103,car,57
102,car,45
101,car,53
101,car,53
100,car,62
99,car,58
99,car,61
99,car,63
98,car,64
98,car,64
97,car,47
97,car,61
97,car,65
97,car,58
96,car,60
96,car,58
95,car,56
95,car,46
95,car,47
94,car,48
93,car,65
93,car,49
91,car,61
91,car,46
91,car,59
91,car,48
91,car,48
90,car,48
89,car,62
89,car,49
88,car,52
87,car,52
86,car,51
86,car,61
86,car,52
85,car,50
85,car,62
85,car,64
84,car,64
84,car,65
83,car,54
83,car,56
83,car,62
82,car,57
81,car,54
81,car,56
81,car,50
81,car,54
81,car,45
79,car,55
79,car,64
78,car,55
76,car,62
76,car,58
76,car,51
76,car,56
76,car,48
76,car,64
76,car,48
76,car,49
76,car,61
75,car,56
74,car,58
72,car,64
71,car,62
71,car,54
70,car,61
69,car,51
69,car,51
68,car,48
68,car,48
67,car,54
67,car,49
67,car,45
67,car,58
66,car,45
66,car,59
66,car,57
65,car,58
65,car,60
65,car,60
64,car,62
63,car,54
63,car,59
61,car,63
60,car,61
60,car,61
60,car,51
60,car,60
60,car,51
60,car,57
59,car,63
59,car,46
59,car,50
59,car,53
59,car,45
59,car,52
59,car,60
59,car,53
59,car,50
58,car,57
58,car,52
58,car,57
58,car,62
58,car,51
58,car,62
58,car,62
58,car,58
58,car,52
58,car,52
58,car,58
58,car,54
58,metro,46
58,metro,80
57,metro,74
57,metro,86
57,metro,67
57,metro,61
57,metro,89
57,metro,75
57,metro,79
57,metro,80
57,metro,66
57,metro,63
57,metro,61
56,metro,86
55,metro,70
55,metro,89
55,metro,61
55,metro,83
55,metro,89
55,metro,82
55,metro,75
55,metro,82
55,metro,75
55,metro,68
55,metro,78
55,metro,76
55,metro,66
54,metro,73
54,metro,84
54,metro,75
54,metro,81
54,metro,86
54,metro,66
54,metro,73
54,metro,63
54,metro,72
54,metro,79
54,metro,78
54,metro,83
54,metro,71
54,metro,78
54,metro,84
53,metro,87
53,metro,85
53,metro,68
53,metro,68
53,metro,66
53,metro,74
53,metro,74
53,metro,73
53,metro,68
52,metro,76
52,metro,76
52,metro,62
52,metro,81
52,metro,74
51,metro,72
51,metro,66
51,metro,73
51,metro,64
51,metro,64
51,metro,65
51,metro,62
51,metro,71
51,metro,63
51,metro,79
51,metro,62
51,metro,84
51,metro,61
51,metro,81
50,metro,76
50,metro,78
50,metro,79
50,metro,89
50,metro,63
50,metro,88
49,metro,75
49,metro,89
49,metro,68
49,metro,68
49,metro,80
49,metro,83
49,metro,76
49,metro,80
48,metro,89
48,metro,84
47,metro,79
47,metro,73
47,metro,69
47,metro,83
47,metro,80
47,metro,64
47,metro,88
47,metro,82
47,metro,72
47,metro,85
47,metro,79
47,metro,66
47,metro,76
47,metro,86
47,metro,75
47,metro,64
47,metro,62
46,metro,84
46,metro,68
46,metro,62
46,metro,87
46,metro,86
46,metro,74
46,metro,86
46,metro,69
46,metro,80
46,metro,66
46,metro,82
46,metro,73
46,metro,84
46,metro,82
46,metro,64
46,metro,69
46,metro,65
46,metro,84
46,metro,70
45,metro,73
45,metro,89
45,metro,87
45,metro,84
45,metro,81
45,metro,77
45,metro,64
45,metro,73
45,metro,84
45,metro,67
45,metro,84
45,metro,85
45,metro,84
45,metro,73
45,metro,69
45,metro,75
44,metro,85
44,metro,86
44,metro,64
44,metro,74
44,metro,88
43,metro,84
43,metro,83
43,metro,87
43,metro,61
43,metro,82
43,metro,73
43,metro,83
43,metro,64
43,metro,66
43,metro,60
43,metro,84
42,metro,62
42,metro,83
42,metro,87
42,metro,75
42,metro,62
42,metro,61
42,metro,61
42,metro,89
42,metro,83
42,metro,61
42,metro,81
42,metro,77
42,metro,73
42,metro,75
42,metro,84
41,metro,66
41,metro,65
41,metro,88
41,metro,82
41,metro,71
41,metro,60
41,metro,81
41,metro,84
40,metro,87
40,metro,84
40,metro,71
40,metro,71
39,metro,60
39,metro,70
39,metro,82
39,metro,77
39,metro,67
39,metro,76
39,metro,85
39,metro,82
39,metro,85
39,metro,77
39,metro,66
39,metro,75
39,metro,84
38,metro,60
38,metro,87
38,metro,83
38,metro,60
38,metro,73
38,metro,65
38,metro,79
38,metro,88
38,metro,87
38,metro,64
37,metro,77
37,metro,69
37,metro,69
37,metro,83
37,metro,62
37,metro,67
37,metro,82
37,metro,62
37,metro,80
37,metro,88
37,metro,60
37,metro,66
37,metro,61
35,metro,76
35,metro,74
35,metro,73
35,metro,74
35,metro,82
35,metro,80
35,metro,76
35,metro,74
35,metro,70
35,metro,84
35,metro,66
35,metro,71
35,metro,71
35,metro,63
35,metro,82
35,walk,21
35,walk,65
35,walk,28
35,walk,32
34,walk,32
34,walk,55
34,walk,42
34,walk,81
34,walk,95
34,walk,84
34,walk,99
34,walk,85
34,walk,100
34,walk,45
33,walk,79
33,walk,61
33,walk,94
33,walk,35
33,walk,59
33,walk,41
33,walk,56
33,walk,31
33,walk,26
33,walk,26
33,walk,44
33,walk,96
33,walk,35
32,walk,92
32,walk,42
31,walk,49
31,walk,72
31,walk,84
31,walk,52
31,walk,39
31,walk,98
31,walk,86
31,walk,19
31,walk,44
31,walk,26
31,walk,62
31,walk,29
31,walk,12
31,walk,35
30,walk,16
30,walk,40
30,walk,76
30,walk,86
30,walk,71
30,walk,93
30,walk,13
30,walk,49
30,walk,41
30,walk,95
29,walk,63
29,walk,79
29,walk,53
29,walk,67
29,walk,17
29,walk,38
29,walk,34
29,walk,89
29,walk,50
29,walk,74
28,walk,47
28,walk,93
27,walk,23
27,walk,82
27,walk,90
27,walk,96
27,walk,46
27,walk,89
27,walk,96
26,walk,34
26,walk,43
26,walk,68
26,walk,87
26,walk,63
26,walk,37
26,walk,26
26,walk,94
26,walk,12
26,walk,47
26,walk,91
25,walk,67
25,walk,78
25,walk,63
25,walk,95
25,walk,84
25,walk,41
25,walk,44
25,walk,92
25,walk,28
25,walk,91
25,walk,61
25,walk,63
25,walk,44
24,walk,84
24,walk,55
23,walk,86
23,walk,75
23,walk,82
23,walk,92
23,walk,57
23,walk,14
23,walk,29
23,walk,58
23,walk,31
23,walk,62
23,walk,63
23,walk,81
23,walk,87
23,walk,72
23,walk,51
23,walk,98
23,walk,89
23,walk,34
22,walk,51
22,walk,50
22,walk,16
22,walk,69
22,walk,100
22,walk,10
22,walk,78
22,walk,19
22,walk,59
22,walk,11
22,walk,80
22,walk,75
21,walk,70
21,walk,94
21,walk,86
21,walk,31
21,walk,69
21,walk,81
21,walk,45
21,walk,21
21,walk,93
20,walk,23
20,walk,27
20,walk,51
20,walk,70
20,walk,31
20,walk,63
19,walk,94
19,walk,12
19,walk,45
19,walk,61
19,walk,56
19,walk,27
19,walk,35
19,walk,47
19,walk,81
18,walk,57
18,walk,56
18,walk,66
18,walk,96
17,walk,44
17,walk,59
17,walk,71
17,walk,84
17,walk,82
17,walk,77
17,walk,79
17,walk,35
17,walk,94
17,walk,90
17,walk,31
17,walk,64
17,walk,65
17,walk,90
17,walk,52
16,walk,98
16,walk,74
15,walk,12
15,walk,49
15,walk,32
15,walk,28
15,walk,72
15,walk,57
15,walk,94
15,walk,15
15,walk,98
15,walk,91
15,walk,38
14,walk,17
14,walk,34
14,walk,49
14,walk,100
14,walk,14
14,walk,59
14,walk,68
14,walk,52
14,walk,85
14,walk,26
14,walk,33
14,walk,73
14,walk,20
14,walk,36
13,walk,97
13,walk,30
13,walk,53
13,walk,72
13,walk,50
13,walk,90
13,walk,36
13,walk,19
13,walk,76
13,walk,96
13,walk,22
13,walk,37
13,walk,42
13,walk,87
13,walk,35
13,walk,86
13,walk,39
13,walk,54
13,walk,97
13,walk,16
13,walk,90
12,walk,75
12,walk,98
12,walk,87
12,walk,94
12,walk,83
12,walk,48
12,walk,54
12,walk,50
12,walk,77
11,walk,25
11,walk,45
10,walk,61
10,walk,96
10,walk,20
10,walk,15
10,walk,15
10,walk,49
10,walk,60
10,walk,76
10,walk,13
10,walk,11
10,walk,34
10,walk,17
10,walk,13
9,walk,46
9,walk,77
9,walk,50
